# --------------------------------------------------------------
# Station name       Lat     Lon                 Description
# --------------------------------------------------------------
KUAL                 2.73   101.70   Kuala Lumpur Malaysia
KUM                 19.52  -154.82   Cape Kumukahi Hawaii Pacific O. 
KUN                 25.01   102.65   Kunming   
KZD                 44.45    77.57   Sary Taukum Kazakhstan 
KZM                 43.25    77.88   Plateau Assy Kazakhstan 
LAG                  6.57     3.31   Lagos Nigeria
LAREUNI            -21.06    55.48   la Reunion
LAU                -45.04   169.68   Lauder New Zealand 
LAV                 40.54  -121.60   Lassen Volcanic NP CA
LEF                 45.93   -90.27   Park Falls Wisconsin 
LGN                 53.00    21.00   Legionowo Poland
LHA                 29.70    91.10   Lhasa
LHS                 39.99   -79.25   Laurel Hill State Par, PA
LIN                 52.00    14.00   Lindenberg Germany
LON                 44.44   127.36   Longfengshan 
LUA                 -8.50   -13.20   Luanda Angola
LWV                 38.00   -80.00   Lewisburg West Virginia 
LZC                 30.30   119.73   Linan Zhejiang China 
MAD                 13.00    80.20   Madras (Chennai) India
MAL                 -2.99    40.19   Malindi Kenya
MAQ                -54.50   159.00   MacQuarie Pacific O. 
MAR                -64.20   -56.60   Marambio Antarctica
MAW                -67.60    62.50   Mawson Antarctica
MBC                 76.25  -119.35   Mould Bay Northwest Territories
MBO                 44.00  -121.70   Mount Bachelor Oregon
MCM                -77.83   166.60   McMurdo Station Antarctica 
MEV                 37.20  -108.50   Mesa Verde NP CO
MHD                 53.33    -9.90   Mace Head Galway Ireland
MID                 28.22  -177.37   Sand Island Midway Pacific O. 
MIN                 24.30   153.97   Minamitorishima Japan
MKG                 41.43   -80.15   M.K. Goddard State Park, PA
MLO                 19.53  -155.58   Mauna Loa Hawaii Pacific O. 
MMO                 37.00   -90.00   Mark TwainNF Missouri 
MND                 51.65   100.92   Mondy Siberia
MON                 43.00   -73.00   Montaque Massachusetts
MOS                 44.40   142.30   Moshiri Japan
NAH                 26.20   127.60   Naha Japan
NAI                 -1.30    36.80   Nairobi Kenya
NAM                -19.00    16.00   Namibia 
NAT                 -5.42   -35.40   Natal Brazil
NDI                 29.00    77.00   New Delhi India 
NEU                -71.00    -8.00   Neumayer Antarctica
NEW                 40.67   -73.63   New York NY
NMB                -23.57    15.03   Gobabeb Namibia
NOR                -28.00   167.00   Norfolk Island Pacific O.
NRU                 -0.53   166.95   Nauru Pacific O. 
NWR                 40.05  -105.58   Niwot Ridge Colorado 
NZL                -43.83   172.63   Kaitorete Spit New Zealand
OAH                 21.33  -157.70   Oahu Hawaii Pacific O.
OGA                 27.12   142.20   Ogasawara Japan
OIJ                 36.28   133.18   Oki Island Japan 
OKI                 26.92   128.25   Okinawa Pacific O. 
OOR                 44.00  -120.00   OchocoNF Oregon
OPW                 48.25  -124.42   Olympic Peninsula Washington 
OSA                 34.43   135.23   Osaka Japan
PAGO               -14.23  -170.50   Pago Pago American Samoa
PAL                 67.97    24.12   Pallas-Sammaltunturi Finland
PAN                  9.00   -80.00   Panama 
PAPEE              -18.00  -149.00   Papeete French Polynesia 
PAR                  5.81   -55.21   Paramaribo Surinam
PARIS               49.10     2.55   Paris France
PAT                 32.00   -96.00   Palestine Texas
PAY                 47.01     7.00   Payerne
PEE                 33.45  -109.57   Phoenix (EE) Arizona 
PEI                -46.92    37.75   Prince Edward Island Indian O. 
PEK                 40.00   116.50   Beijing Airport, China
PEN                 40.72   -77.93   Penn State University, PA
PHX                 33.45  -112.07   Phoenix Arizona
PIN                 36.49  -121.16   Pinnacles National Monument
PIT                -25.00  -130.00   Pitcairn Island Pacific O.
PNA                -11.00   -48.00   Porto Nacional Brazil
PND                 42.93  -109.79   Pinedale WY
PNE                 35.45  -109.57   Phoenix (NE) Arizona
PNN                 35.45  -112.57   Phoenix (NN) Arizona 
PNW                 35.45  -114.57   Phoenix (NW) Arizona 
POO                 19.00    74.00   Poona India
PORT                45.60  -122.60   Portland Vancouver
PRA                 50.00    15.00   Praha Czech
PRT                 18.43   -66.10   Puerto Rico
PSA                -64.92   -64.00   Palmer Station Antarctica 
PSE                 31.45  -109.57   Phoenix (SE) Arizona 
PSS                 31.45  -112.57   Phoenix (SS) Arizona 
PSW                 31.45  -114.57   Phoenix (SW) Arizona 
PT1                -15.00   -85.00   PEM-Tropics A B 1
PT2                -40.00  -120.00   PEM-Tropics A B 2
PT3                -40.00  -150.00   PEM-Tropics A B 3
PT4                -15.00  -115.00   PEM-Tropics A B 4
PT5                 15.00  -115.00   PEM-Tropics A B 5
PT6                 32.00  -140.00   PEM-Tropics A B 6
PTA                 38.95  -123.73   Point Arena California 
PW1                 30.00   145.00   PEM West A B TRACE 
PW2                 40.00   155.00   PEM West A B TRACE 
PW3                 45.00   160.00   PEM West A B TRACE 
PW4                 10.00    95.00   PEM West A B TRACE 
PW5                 49.00  -175.00   PEM West A B TRACE 
