# --------------------------------------------------------------
# Station name       Lat     Lon                 Description
# --------------------------------------------------------------
TA5                -42.00   -10.00   Trace-A 5                                         
TA6                -42.00    40.00   Trace-A 6                                         
TAPPI               41.25   140.35   Tappi Japan                                       
TDF                -54.87   -68.48   Tierra del Fuego Argentina                        
TRH                 40.80  -124.16   Trinidad Head California                          
UCC                 50.77     4.35   Uccle Belgiam                                     
UNI                 43.61   -83.36   Unionville, MI                                    
USH                -54.80   -68.30   Ushuaia Argentina                                 
UUM                 44.45   111.10   Ulaan Uul Mongolia                                
VIE                 48.20    16.57   Vienna Austria                                    
WAS                 40.31   -74.87   Washington's Crossing, NJ                         
WNY                 44.00   -74.00   Whiteface Mountain New York                       
YAR                 43.80   -66.10   Yarmouth, Candada                                 
YEL                 44.56  -110.40   Yellowstone NP WY                                 
ZEP                 78.90    11.88   Ny-Alesund Zeppelin Svalbard Norway               
ZIN                 54.43    12.73   Zingst Germany                                    
ZUG                 47.42    10.98   Zugspitze                                         
ZVE                 56.00    36.00   Zvenigorod Russia                                 
